"10002","Medium-moving"
"10080","Fast-moving"
"10120","Medium-moving"
"10123C","Slow-moving"
"10124A","Slow-moving"
"10124G","Slow-moving"
"10125","Medium-moving"
"10133","Medium-moving"
"10135","Medium-moving"
"11001","Medium-moving"
"15030","Fast-moving"
"15034","Fast-moving"
"15036","Fast-moving"
"15039","Medium-moving"
"15044A","Slow-moving"
"15044B","Medium-moving"
"15044C","Slow-moving"
"15044D","Medium-moving"
"15056BL","Medium-moving"
"15056N","Medium-moving"
"15056P","Slow-moving"
"15058A","Slow-moving"
"15058B","Slow-moving"
"15058C","Slow-moving"
"15060B","Slow-moving"
"16008","Fast-moving"
"16010","Medium-moving"
"16011","Fast-moving"
"16012","Fast-moving"
"16014","Fast-moving"
"16015","Fast-moving"
"16016","Medium-moving"
"16020C","Slow-moving"
"16033","Fast-moving"
"16043","Fast-moving"
"16045","Fast-moving"
"16046","Slow-moving"
"16048","Fast-moving"
"16049","Fast-moving"
"16052","Fast-moving"
"16054","Fast-moving"
"16151A","Medium-moving"
"16156L","Fast-moving"
"16156S","Fast-moving"
"16161G","Fast-moving"
"16161M","Fast-moving"
"16161P","Fast-moving"
"16161U","Fast-moving"
"16162L","Medium-moving"
"16162M","Medium-moving"
"16168M","Medium-moving"
"16169E","Fast-moving"
"16169K","Fast-moving"
"16169M","Fast-moving"
"16169N","Fast-moving"
"16169P","Fast-moving"
"16202A","Slow-moving"
"16202B","Medium-moving"
"16202E","Medium-moving"
"16206B","Slow-moving"
"16207A","Slow-moving"
"16207B","Slow-moving"
"16216","Fast-moving"
"16218","Fast-moving"
"16219","Fast-moving"
"16225","Medium-moving"
"16235","Medium-moving"
"16236","Medium-moving"
"16237","Medium-moving"
"16238","Medium-moving"
"16244B","Slow-moving"
"16248B","Slow-moving"
"16254","Slow-moving"
"16258A","Medium-moving"
"16259","Fast-moving"
"17001","Fast-moving"
"17003","Fast-moving"
"17007B","Medium-moving"
"17011F","Medium-moving"
"17012A","Slow-moving"
"17012B","Medium-moving"
"17012C","Slow-moving"
"17012D","Slow-moving"
"17012E","Medium-moving"
"17012F","Slow-moving"
"17013D","Fast-moving"
"17014A","Medium-moving"
"17021","Fast-moving"
"17028J","Medium-moving"
"17038","Fast-moving"
"17084A","Fast-moving"
"17084J","Fast-moving"
"17084N","Medium-moving"
"17084P","Medium-moving"
"17084R","Fast-moving"
"17090A","Medium-moving"
"17090D","Slow-moving"
"17091A","Medium-moving"
"17091J","Fast-moving"
"17096","Fast-moving"
"17107D","Slow-moving"
"17109D","Medium-moving"
"17129F","Medium-moving"
"17136A","Medium-moving"
"17164B","Slow-moving"
"17165D","Slow-moving"
"17174","Slow-moving"
"17191A","Slow-moving"
"18007","Fast-moving"
"18094C","Slow-moving"
"18097A","Slow-moving"
"18097C","Medium-moving"
"18098C","Slow-moving"
"20615","Slow-moving"
"20616","Slow-moving"
"20617","Slow-moving"
"20618","Slow-moving"
"20619","Slow-moving"
"20622","Slow-moving"
"20652","Slow-moving"
"20653","Slow-moving"
"20654","Slow-moving"
"20655","Slow-moving"
"20657","Slow-moving"
"20658","Slow-moving"
"20659","Slow-moving"
"20661","Slow-moving"
"20662","Slow-moving"
"20663","Slow-moving"
"20664","Slow-moving"
"20665","Slow-moving"
"20666","Slow-moving"
"20667","Slow-moving"
"20668","Fast-moving"
"20669","Slow-moving"
"20670","Slow-moving"
"20671","Medium-moving"
"20674","Medium-moving"
"20675","Medium-moving"
"20676","Medium-moving"
"20677","Medium-moving"
"20678","Slow-moving"
"20679","Medium-moving"
"20681","Slow-moving"
"20682","Medium-moving"
"20684","Slow-moving"
"20685","Medium-moving"
"20686","Slow-moving"
"20694","Slow-moving"
"20695","Slow-moving"
"20696","Slow-moving"
"20697","Slow-moving"
"20698","Slow-moving"
"20699","Slow-moving"
"20700","Slow-moving"
"20701","Slow-moving"
"20702","Slow-moving"
"20703","Slow-moving"
"20704","Slow-moving"
"20705","Medium-moving"
"20707","Slow-moving"
"20711","Medium-moving"
"20712","Medium-moving"
"20713","Medium-moving"
"20716","Medium-moving"
"20717","Medium-moving"
"20718","Medium-moving"
"20719","Medium-moving"
"20723","Medium-moving"
"20724","Medium-moving"
"20725","Medium-moving"
"20726","Medium-moving"
"20727","Medium-moving"
"20728","Medium-moving"
"20731","Medium-moving"
"20733","Medium-moving"
"20734","Medium-moving"
"20735","Medium-moving"
"20748","Slow-moving"
"20749","Slow-moving"
"20750","Slow-moving"
"20751","Slow-moving"
"20752","Slow-moving"
"20754","Slow-moving"
"20755","Slow-moving"
"20756","Slow-moving"
"20757","Slow-moving"
"20758","Slow-moving"
"20759","Slow-moving"
"20760","Slow-moving"
"20761","Slow-moving"
"20762","Slow-moving"
"20763","Slow-moving"
"20764","Slow-moving"
"20765","Slow-moving"
"20766","Slow-moving"
"20767","Slow-moving"
"20768","Slow-moving"
"20769","Slow-moving"
"20770","Slow-moving"
"20771","Slow-moving"
"20772","Slow-moving"
"20773","Slow-moving"
"20774","Slow-moving"
"20775","Slow-moving"
"20777","Slow-moving"
"20778","Slow-moving"
"20780","Slow-moving"
"20781","Slow-moving"
"20782","Slow-moving"
"20785","Slow-moving"
"20793","Slow-moving"
"20794","Slow-moving"
"20795","Slow-moving"
"20796","Medium-moving"
"20798","Medium-moving"
"20801","Medium-moving"
"20802","Medium-moving"
"20803","Fast-moving"
"20816","Slow-moving"
"20818","Slow-moving"
"20819","Slow-moving"
"20820","Slow-moving"
"20821","Slow-moving"
"20823","Medium-moving"
"20826","Fast-moving"
"20827","Fast-moving"
"20828","Slow-moving"
"20829","Medium-moving"
"20830","Slow-moving"
"20831","Medium-moving"
"20832","Medium-moving"
"20835","Medium-moving"
"20836","Medium-moving"
"20837","Medium-moving"
"20838","Medium-moving"
"20839","Medium-moving"
"20840","Medium-moving"
"20845","Slow-moving"
"20846","Medium-moving"
"20847","Slow-moving"
"20848","Slow-moving"
"20849","Slow-moving"
"20851","Slow-moving"
"20854","Medium-moving"
"20856","Slow-moving"
"20857","Slow-moving"
"20860","Slow-moving"
"20861","Slow-moving"
"20866","Medium-moving"
"20867","Medium-moving"
"20868","Medium-moving"
"20869","Medium-moving"
"20871","Slow-moving"
"20878","Slow-moving"
"20886","Slow-moving"
"20892","Slow-moving"
"20893","Medium-moving"
"20894","Slow-moving"
"20897","Slow-moving"
"20898","Slow-moving"
"20901","Slow-moving"
"20902","Slow-moving"
"20903","Slow-moving"
"20906","Slow-moving"
"20910","Slow-moving"
"20914","Medium-moving"
"20931","Slow-moving"
"20932","Medium-moving"
"20933","Slow-moving"
"20934","Slow-moving"
"20935","Slow-moving"
"20936","Slow-moving"
"20941","Slow-moving"
"20950","Slow-moving"
"20954","Slow-moving"
"20956","Medium-moving"
"20960","Slow-moving"
"20961","Medium-moving"
"20963","Medium-moving"
"20964","Slow-moving"
"20966","Medium-moving"
"20967","Slow-moving"
"20969","Medium-moving"
"20970","Slow-moving"
"20971","Fast-moving"
"20972","Medium-moving"
"20973","Medium-moving"
"20974","Medium-moving"
"20975","Medium-moving"
"20977","Medium-moving"
"20978","Medium-moving"
"20979","Medium-moving"
"20980","Slow-moving"
"20981","Medium-moving"
"20982","Medium-moving"
"20983","Medium-moving"
"20984","Fast-moving"
"20985","Medium-moving"
"20986","Medium-moving"
"20992","Medium-moving"
"20996","Medium-moving"
"20997","Slow-moving"
"20998","Slow-moving"
"21000","Slow-moving"
"21001","Slow-moving"
"21002","Slow-moving"
"21003","Slow-moving"
"21009","Slow-moving"
"21011","Medium-moving"
"21012","Medium-moving"
"21014","Medium-moving"
"21015","Medium-moving"
"21018","Slow-moving"
"21025","Slow-moving"
"21026","Slow-moving"
"21027","Slow-moving"
"21028","Slow-moving"
"21030","Slow-moving"
"21031","Slow-moving"
"21032","Slow-moving"
"21033","Medium-moving"
"21034","Slow-moving"
"21035","Medium-moving"
"21038","Slow-moving"
"21039","Medium-moving"
"21040","Slow-moving"
"21041","Slow-moving"
"21042","Slow-moving"
"21043","Medium-moving"
"21051","Medium-moving"
"21054","Slow-moving"
"21055","Slow-moving"
"21056","Slow-moving"
"21058","Medium-moving"
"21059","Medium-moving"
"21060","Medium-moving"
"21061","Medium-moving"
"21062","Medium-moving"
"21063","Medium-moving"
"21064","Slow-moving"
"21065","Medium-moving"
"21066","Medium-moving"
"21067","Slow-moving"
"21068","Medium-moving"
"21069","Fast-moving"
"21070","Medium-moving"
"21071","Medium-moving"
"21078","Medium-moving"
"21080","Medium-moving"
"21082","Slow-moving"
"21084","Medium-moving"
"21086","Medium-moving"
"21087","Medium-moving"
"21088","Medium-moving"
"21089","Medium-moving"
"21090","Medium-moving"
"21094","Medium-moving"
"21095","Medium-moving"
"21096","Medium-moving"
"21098","Medium-moving"
"21100","Slow-moving"
"21106","Slow-moving"
"21107","Medium-moving"
"21108","Fast-moving"
