"10002","Erratic","Medium-moving"
"10080","Erratic","Fast-moving"
"10120","Erratic","Medium-moving"
"10123C","Moderate","Slow-moving"
"10124A","Stable","Slow-moving"
"10124G","Stable","Slow-moving"
"10125","Erratic","Medium-moving"
"10133","Erratic","Medium-moving"
"10135","Erratic","Medium-moving"
"11001","Erratic","Medium-moving"
"15030","Erratic","Fast-moving"
"15034","Erratic","Fast-moving"
"15036","Erratic","Fast-moving"
"15039","Erratic","Medium-moving"
"15044A","Erratic","Slow-moving"
"15044B","Erratic","Medium-moving"
"15044C","Erratic","Slow-moving"
"15044D","Erratic","Medium-moving"
"15056BL","Erratic","Medium-moving"
"15056N","Erratic","Medium-moving"
"15056P","Erratic","Slow-moving"
"15058A","Erratic","Slow-moving"
"15058B","Erratic","Slow-moving"
"15058C","Erratic","Slow-moving"
"15060B","Erratic","Slow-moving"
"16008","Erratic","Fast-moving"
"16010","Stable","Medium-moving"
"16011","Moderate","Fast-moving"
"16012","Moderate","Fast-moving"
"16014","Erratic","Fast-moving"
"16015","Erratic","Fast-moving"
"16016","Erratic","Medium-moving"
"16020C","Erratic","Slow-moving"
"16033","Moderate","Fast-moving"
"16043","Moderate","Fast-moving"
"16045","Moderate","Fast-moving"
"16046","Erratic","Slow-moving"
"16048","Erratic","Fast-moving"
"16049","Moderate","Fast-moving"
"16052","Erratic","Fast-moving"
"16054","Moderate","Fast-moving"
"16151A","Erratic","Medium-moving"
"16156L","Stable","Fast-moving"
"16156S","Erratic","Fast-moving"
"16161G","Moderate","Fast-moving"
"16161M","Stable","Fast-moving"
"16161P","Moderate","Fast-moving"
"16161U","Erratic","Fast-moving"
"16162L","Erratic","Medium-moving"
"16162M","Erratic","Medium-moving"
"16168M","Erratic","Medium-moving"
"16169E","Moderate","Fast-moving"
"16169K","Stable","Fast-moving"
"16169M","Stable","Fast-moving"
"16169N","Stable","Fast-moving"
"16169P","Stable","Fast-moving"
"16202A","Stable","Slow-moving"
"16202B","Moderate","Medium-moving"
"16202E","Moderate","Medium-moving"
"16206B","Stable","Slow-moving"
"16207A","Moderate","Slow-moving"
"16207B","Moderate","Slow-moving"
"16216","Erratic","Fast-moving"
"16218","Erratic","Fast-moving"
"16219","Erratic","Fast-moving"
"16225","Erratic","Medium-moving"
"16235","Erratic","Medium-moving"
"16236","Erratic","Medium-moving"
"16237","Erratic","Medium-moving"
"16238","Erratic","Medium-moving"
"16244B","Stable","Slow-moving"
"16248B","Stable","Slow-moving"
"16254","Erratic","Slow-moving"
"16258A","Erratic","Medium-moving"
"16259","Moderate","Fast-moving"
"17001","Stable","Fast-moving"
"17003","Erratic","Fast-moving"
"17007B","Stable","Medium-moving"
"17011F","Moderate","Medium-moving"
"17012A","Erratic","Slow-moving"
"17012B","Erratic","Medium-moving"
"17012C","Erratic","Slow-moving"
"17012D","Erratic","Slow-moving"
"17012E","Erratic","Medium-moving"
"17012F","Erratic","Slow-moving"
"17013D","Erratic","Fast-moving"
"17014A","Erratic","Medium-moving"
"17021","Erratic","Fast-moving"
"17028J","Stable","Medium-moving"
"17038","Erratic","Fast-moving"
"17084A","Stable","Fast-moving"
"17084J","Stable","Fast-moving"
"17084N","Erratic","Medium-moving"
"17084P","Erratic","Medium-moving"
"17084R","Erratic","Fast-moving"
"17090A","Erratic","Medium-moving"
"17090D","Moderate","Slow-moving"
"17091A","Erratic","Medium-moving"
"17091J","Erratic","Fast-moving"
"17096","Erratic","Fast-moving"
"17107D","Moderate","Slow-moving"
"17109D","Moderate","Medium-moving"
"17129F","Erratic","Medium-moving"
"17136A","Erratic","Medium-moving"
"17164B","Moderate","Slow-moving"
"17165D","Moderate","Slow-moving"
"17174","Moderate","Slow-moving"
"17191A","Stable","Slow-moving"
"18007","Erratic","Fast-moving"
"18094C","Erratic","Slow-moving"
"18097A","Stable","Slow-moving"
"18097C","Erratic","Medium-moving"
"18098C","Erratic","Slow-moving"
"20615","Erratic","Slow-moving"
"20616","Erratic","Slow-moving"
"20617","Moderate","Slow-moving"
"20618","Erratic","Slow-moving"
"20619","Erratic","Slow-moving"
"20622","Erratic","Slow-moving"
"20652","Erratic","Slow-moving"
"20653","Erratic","Slow-moving"
"20654","Erratic","Slow-moving"
"20655","Erratic","Slow-moving"
"20657","Erratic","Slow-moving"
"20658","Erratic","Slow-moving"
"20659","Erratic","Slow-moving"
"20661","Moderate","Slow-moving"
"20662","Moderate","Slow-moving"
"20663","Moderate","Slow-moving"
"20664","Moderate","Slow-moving"
"20665","Moderate","Slow-moving"
"20666","Moderate","Slow-moving"
"20667","Stable","Slow-moving"
"20668","Erratic","Fast-moving"
"20669","Erratic","Slow-moving"
"20670","Stable","Slow-moving"
"20671","Moderate","Medium-moving"
"20674","Erratic","Medium-moving"
"20675","Erratic","Medium-moving"
"20676","Erratic","Medium-moving"
"20677","Erratic","Medium-moving"
"20678","Stable","Slow-moving"
"20679","Erratic","Medium-moving"
"20681","Moderate","Slow-moving"
"20682","Erratic","Medium-moving"
"20684","Moderate","Slow-moving"
"20685","Erratic","Medium-moving"
"20686","Erratic","Slow-moving"
"20694","Moderate","Slow-moving"
"20695","Stable","Slow-moving"
"20696","Moderate","Slow-moving"
"20697","Stable","Slow-moving"
"20698","Stable","Slow-moving"
"20699","Moderate","Slow-moving"
"20700","Moderate","Slow-moving"
"20701","Moderate","Slow-moving"
"20702","Moderate","Slow-moving"
"20703","Stable","Slow-moving"
"20704","Moderate","Slow-moving"
"20705","Erratic","Medium-moving"
"20707","Erratic","Slow-moving"
"20711","Erratic","Medium-moving"
"20712","Erratic","Medium-moving"
"20713","Erratic","Medium-moving"
"20716","Erratic","Medium-moving"
"20717","Erratic","Medium-moving"
"20718","Erratic","Medium-moving"
"20719","Erratic","Medium-moving"
"20723","Erratic","Medium-moving"
"20724","Erratic","Medium-moving"
"20725","Erratic","Medium-moving"
"20726","Erratic","Medium-moving"
"20727","Erratic","Medium-moving"
"20728","Erratic","Medium-moving"
"20731","Erratic","Medium-moving"
"20733","Erratic","Medium-moving"
"20734","Moderate","Medium-moving"
"20735","Erratic","Medium-moving"
"20748","Erratic","Slow-moving"
"20749","Erratic","Slow-moving"
"20750","Erratic","Slow-moving"
"20751","Erratic","Slow-moving"
"20752","Erratic","Slow-moving"
"20754","Erratic","Slow-moving"
"20755","Erratic","Slow-moving"
"20756","Stable","Slow-moving"
"20757","Erratic","Slow-moving"
"20758","Moderate","Slow-moving"
"20759","Moderate","Slow-moving"
